symbol,description,investment_objective,asset_class,sub_asset_class,duration_category,credit_quality,geographic_focus,benchmark_index
TLT.US,iShares 20+ Year Treasury Bond ETF - Long-term US Treasury bonds with maturities over 20 years - High duration sensitivity around 17 years - Used for long-duration Treasury exposure and flight-to-quality hedge,Tracks ICE US Treasury 20+ Year Bond Index,FIXED_INCOME,GOVERNMENT_BOND,LONG,AAA,US,ICE US Treasury 20+ Year Bond Index
IEF.US,iShares 7-10 Year Treasury Bond ETF - Intermediate-term US Treasury bonds with 7-10 year maturities - Moderate interest rate sensitivity - Core Treasury holding for balanced duration,Tracks ICE US Treasury 7-10 Year Bond Index,FIXED_INCOME,GOVERNMENT_BOND,INTERMEDIATE,AAA,US,ICE US Treasury 7-10 Year Bond Index
SHY.US,iShares 1-3 Year Treasury Bond ETF - Short-term US Treasury bonds with 1-3 year maturities - Low interest rate sensitivity - Used for cash management and short-duration exposure,Tracks ICE US Treasury 1-3 Year Bond Index,FIXED_INCOME,GOVERNMENT_BOND,SHORT,AAA,US,ICE US Treasury 1-3 Year Bond Index
LQD.US,iShares iBoxx USD Investment Grade Corporate Bond ETF - USD investment grade corporate bonds - Diversified across sectors and issuers - Credit spread risk exposure,Tracks Markit iBoxx USD Liquid Investment Grade Index,FIXED_INCOME,CORPORATE_BOND,INTERMEDIATE,INVESTMENT_GRADE,US,Markit iBoxx USD Liquid Investment Grade Index
HYG.US,iShares iBoxx USD High Yield Corporate Bond ETF - USD high yield corporate bonds - Higher credit risk with higher yield potential - Sensitive to economic cycles,Tracks Markit iBoxx USD Liquid High Yield Index,FIXED_INCOME,CORPORATE_BOND,INTERMEDIATE,HIGH_YIELD,US,Markit iBoxx USD Liquid High Yield Index
AGG.US,iShares Core US Aggregate Bond ETF - Broad exposure to US investment grade bonds including Treasuries and corporates and MBS - Core fixed income allocation,Tracks Bloomberg US Aggregate Bond Index,FIXED_INCOME,AGGREGATE,INTERMEDIATE,INVESTMENT_GRADE,US,Bloomberg US Aggregate Bond Index
BND.US,Vanguard Total Bond Market ETF - Broad exposure to US investment grade bonds - Similar to AGG - Low-cost core bond allocation,Tracks Bloomberg US Aggregate Float Adjusted Index,FIXED_INCOME,AGGREGATE,INTERMEDIATE,INVESTMENT_GRADE,US,Bloomberg US Aggregate Float Adjusted Index
EMB.US,iShares JP Morgan USD Emerging Markets Bond ETF - USD-denominated EM government bonds - Higher yield with emerging market sovereign risk,Tracks JP Morgan EMBI Global Core Index,FIXED_INCOME,EMERGING_MARKET_BOND,INTERMEDIATE,MIXED,EMERGING_MARKETS,JP Morgan EMBI Global Core Index
VCIT.US,Vanguard Intermediate-Term Corporate Bond ETF - Investment grade corporate bonds with 5-10 year maturities - Moderate duration corporate credit,Tracks Bloomberg US 5-10 Year Corporate Bond Index,FIXED_INCOME,CORPORATE_BOND,INTERMEDIATE,INVESTMENT_GRADE,US,Bloomberg US 5-10 Year Corporate Bond Index
VCSH.US,Vanguard Short-Term Corporate Bond ETF - Investment grade corporate bonds with 1-5 year maturities - Lower duration corporate credit,Tracks Bloomberg US 1-5 Year Corporate Bond Index,FIXED_INCOME,CORPORATE_BOND,SHORT,INVESTMENT_GRADE,US,Bloomberg US 1-5 Year Corporate Bond Index
GOVT.US,iShares US Treasury Bond ETF - US Treasury bonds across the yield curve - Diversified Treasury exposure from short to long maturities,Tracks ICE US Treasury Core Bond Index,FIXED_INCOME,GOVERNMENT_BOND,MIXED,AAA,US,ICE US Treasury Core Bond Index
TIP.US,iShares TIPS Bond ETF - US Treasury Inflation-Protected Securities - Principal adjusts with CPI inflation - Hedge against unexpected inflation,Tracks Bloomberg US Treasury Inflation-Linked Bond Index,FIXED_INCOME,INFLATION_LINKED,INTERMEDIATE,AAA,US,Bloomberg US Treasury Inflation-Linked Bond Index
MUB.US,iShares National Muni Bond ETF - Investment grade US municipal bonds - Tax-exempt interest income for US taxpayers,Tracks S&P National AMT-Free Municipal Bond Index,FIXED_INCOME,MUNICIPAL_BOND,INTERMEDIATE,INVESTMENT_GRADE,US,S&P National AMT-Free Municipal Bond Index
BNDX.US,Vanguard Total International Bond ETF - Non-US investment grade bonds hedged to USD - International fixed income diversification,Tracks Bloomberg Global Aggregate ex-USD Float Adjusted RIC Capped Index,FIXED_INCOME,INTERNATIONAL_BOND,INTERMEDIATE,INVESTMENT_GRADE,INTERNATIONAL,Bloomberg Global Aggregate ex-USD Float Adjusted Index
IEAC.LSE,iShares Core EUR Corp Bond UCITS ETF - Euro-denominated investment grade corporate bonds - European credit market exposure,Tracks Bloomberg Euro Corporate Bond Index,FIXED_INCOME,CORPORATE_BOND,INTERMEDIATE,INVESTMENT_GRADE,EU,Bloomberg Euro Corporate Bond Index
IEAG.LSE,iShares Core EUR Govt Bond UCITS ETF - Euro-denominated government bonds - European sovereign debt exposure,Tracks Bloomberg Euro Treasury Bond Index,FIXED_INCOME,GOVERNMENT_BOND,INTERMEDIATE,INVESTMENT_GRADE,EU,Bloomberg Euro Treasury Bond Index
IHYG.LSE,iShares EUR High Yield Corp Bond UCITS ETF - Euro-denominated high yield corporate bonds - European high yield credit exposure,Tracks Markit iBoxx EUR Liquid High Yield Index,FIXED_INCOME,CORPORATE_BOND,INTERMEDIATE,HIGH_YIELD,EU,Markit iBoxx EUR Liquid High Yield Index
IGLT.LSE,iShares Core UK Gilts UCITS ETF - UK government bonds known as Gilts - UK sovereign debt exposure,Tracks FTSE Actuaries UK Conventional Gilts All Stocks Index,FIXED_INCOME,GOVERNMENT_BOND,MIXED,AAA,UK,FTSE Actuaries UK Conventional Gilts All Stocks Index
SLXX.LSE,iShares Core GBP Corporate Bond UCITS ETF - Sterling-denominated investment grade corporate bonds,Tracks Markit iBoxx GBP Liquid Corporates Large Cap Index,FIXED_INCOME,CORPORATE_BOND,INTERMEDIATE,INVESTMENT_GRADE,UK,Markit iBoxx GBP Liquid Corporates Large Cap Index
SPY.US,SPDR S&P 500 ETF Trust - Exposure to 500 large-cap US stocks - Most liquid ETF globally - Core US equity allocation,Tracks S&P 500 Index,EQUITY,LARGE_CAP,NA,NA,US,S&P 500 Index
IVV.US,iShares Core S&P 500 ETF - Exposure to 500 large-cap US stocks - Low-cost S&P 500 tracking,Tracks S&P 500 Index,EQUITY,LARGE_CAP,NA,NA,US,S&P 500 Index
VOO.US,Vanguard S&P 500 ETF - Exposure to 500 large-cap US stocks - Low-cost S&P 500 tracking,Tracks S&P 500 Index,EQUITY,LARGE_CAP,NA,NA,US,S&P 500 Index
QQQ.US,Invesco QQQ Trust - 100 largest non-financial Nasdaq stocks - Technology-heavy large-cap exposure,Tracks Nasdaq-100 Index,EQUITY,LARGE_CAP_GROWTH,NA,NA,US,Nasdaq-100 Index
VTI.US,Vanguard Total Stock Market ETF - Entire US equity market including small mid and large caps - Broadest US equity exposure,Tracks CRSP US Total Market Index,EQUITY,TOTAL_MARKET,NA,NA,US,CRSP US Total Market Index
EFA.US,iShares MSCI EAFE ETF - Developed market equities outside US and Canada - Europe Australasia Far East,Tracks MSCI EAFE Index,EQUITY,INTERNATIONAL_DEVELOPED,NA,NA,INTERNATIONAL,MSCI EAFE Index
VEA.US,Vanguard FTSE Developed Markets ETF - Developed market equities outside US - Similar to EFA with different index,Tracks FTSE Developed All Cap ex US Index,EQUITY,INTERNATIONAL_DEVELOPED,NA,NA,INTERNATIONAL,FTSE Developed All Cap ex US Index
EEM.US,iShares MSCI Emerging Markets ETF - Large and mid-cap emerging market equities,Tracks MSCI Emerging Markets Index,EQUITY,EMERGING_MARKETS,NA,NA,EMERGING_MARKETS,MSCI Emerging Markets Index
VWO.US,Vanguard FTSE Emerging Markets ETF - Emerging market equities - Different index than EEM,Tracks FTSE Emerging Markets All Cap China A Inclusion Index,EQUITY,EMERGING_MARKETS,NA,NA,EMERGING_MARKETS,FTSE Emerging Markets All Cap China A Inclusion Index